index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
914,"Murray Rose Ave, Sydney, 2127","Murray Rose Avenue, Sydney NSW 2127",9 Murray Rose Avenue Sydney Olympic Park New South Wales 2127,9 Murray Rose Avenue,Sydney Olympic Park,New South Wales,2127.0,,NRMA,-33.84603808,151.0698058,5,11,6,29,61,32
861,"Goobarabah Ave, Central Coast, 2263","Goobarabah Avenue, Central Coast NSW 2263",Lake Haven Shopping Centre Carpark Lake Haven New South Wales 2263,Lake Haven Shopping Centre Carpark,Lake Haven,New South Wales,2263.0,,Chargefox,-33.24040245,151.5038719,5,11,6,35,66,31
880,"Jersey St, Sydney, 2077","Jersey Street, Sydney NSW 2077",462 Peats Ferry Road Asquith New South Wales 2077,462 Peats Ferry Road,Asquith,New South Wales,2077.0,,BP,-33.68997402,151.1061692,4,9,5,23,49,26
812,"Breese Pde, Forster, 2428","Breese Parade, Forster NSW 2428",NSW Coastline Cycleway Forster Keys New South Wales 2428,NSW Coastline Cycleway,Forster Keys,New South Wales,2428.0,,Chargefox,-32.20032137,152.5184084,4,9,5,25,56,31
931,"Pole Ln, Sydney, 2065","Pole Lane, Sydney NSW 2065",36 Hume Street Crows Nest New South Wales 2065,36 Hume Street,Crows Nest,New South Wales,2065.0,,Evie,-33.82462167,151.1997668,4,9,5,21,46,25
926,"Pacific Hwy, Boambee, 2450","Pacific Highway, Boambee NSW 2450",Drive Thru North Boambee Valley New South Wales 2450,Drive Thru,North Boambee Valley,New South Wales,2450.0,,Chargefox,-30.31793098,153.0897227,4,9,5,26,52,26
974,"Western Motorway, Sydney, 2766","Western Motorway, Sydney NSW 2766",Hungry Jacks Drive-Thru Eastern Creek New South Wales 2766,Hungry Jacks Drive-Thru,Eastern Creek,New South Wales,2766.0,,Ampol,-33.80154859,150.886,4,9,5,30,58,28
11,"1 Dalgal Way, Sydney, 2037","1 Dalgal Way, Sydney NSW 2037",1 Dalgal Way Forest Lodge New South Wales 2037,1 Dalgal Way,Forest Lodge,New South Wales,2037.0,,Tesla,-33.87650055,151.178,5,9,4,26,46,20
0,", Muswellbrook, 2333",Muswellbrook NSW 2333,Hill Street Muswellbrook New South Wales 2333,Hill Street,Muswellbrook,New South Wales,2333.0,,EVUp,-32.26224229,150.8901391,3,7,4,20,45,25
876,"Holborn Ct, Sydney, 2557","Holborn Ct, Sydney NSW 2557",Holborn Circuit Gledswood Hills New South Wales 2557,Holborn Circuit,Gledswood Hills,New South Wales,2557.0,,Exploren,-34.02030235,150.7634565,4,8,4,24,52,28
872,"Henderson Rd, Sydney, 2174","Henderson Road, Sydney NSW 2174",Sergeant Street Edmondson Park New South Wales 2174,Sergeant Street,Edmondson Park,New South Wales,2174.0,,Chargefox,-33.9694585,150.8563874,4,8,4,26,51,25
892,"Larkin Ln, Lismore, 2480","Larkin Lane, Lismore NSW 2480",104-106 Keen Street Lismore New South Wales 2480,104-106 Keen Street,Lismore,New South Wales,2480.0,,Everty,-28.80843648,153.2793393,4,8,4,24,48,24
918,"North Ter, Sydney, 2200","North Ter, Sydney NSW 2200",Lady Cutler Avenue Bankstown New South Wales 2200,Lady Cutler Avenue,Bankstown,New South Wales,2200.0,,Chargefox,-33.91649454,151.0402563,4,8,4,23,49,26
878,"Innovation Way, Wollongong, 2500","Innovation Way, Wollongong NSW 2500",Squires Way North Wollongong New South Wales 2500,Squires Way,North Wollongong,New South Wales,2500.0,,Chargefox,-34.40008513,150.8996306,4,8,4,32,49,17
1756,"Birmingham St, Sydney, 2015","Birmingham Street, Sydney NSW 2015",472-474 Gardeners Road Alexandria New South Wales 2015,472-474 Gardeners Road,Alexandria,New South Wales,2015.0,,Porsche Smart Mobility,-33.92094499,151.1944855,4,8,4,27,54,27
9,"1 Cathedral Sq, Sydney, 2000","1 Cathedral Sq, Sydney NSW 2000",St Mary's Cathedral Square Sydney New South Wales 2000,St Mary's Cathedral Square,Sydney,New South Wales,2000.0,,AXCharge,-33.87136841,151.2137407,5,9,4,28,54,26
976,"Wingewarra St, Dubbo, 2830","Wingewarra Street, Dubbo NSW 2830",76 Wingewarra Street Dubbo New South Wales 2830,76 Wingewarra Street,Dubbo,New South Wales,2830.0,,NRMA,-32.24936341,148.6091872,4,8,4,26,47,21
800,"Anderson St, Sydney, 2067","Anderson Street, Sydney NSW 2067",370 Victoria Avenue Chatswood New South Wales 2067,370 Victoria Avenue,Chatswood,New South Wales,2067.0,,Exploren,-33.79641046,151.1836096,4,8,4,25,50,25
803,"Avenue Rd, Sydney, 2088","Avenue Road, Sydney NSW 2088",40 Avenue Road Mosman New South Wales 2088,40 Avenue Road,Mosman,New South Wales,2088.0,,BP,-33.83197602,151.2373874,4,8,4,23,42,19
807,"Bay St, Sydney, 2007","Bay Street, Sydney NSW 2007",1 Bay Street Glebe New South Wales 2037,1 Bay Street,Glebe,New South Wales,2037.0,,Tesla,-33.88364169,151.1948789,4,8,4,20,39,19
973,"Walton Ln, Picton, 2571","Walton Lane, Picton NSW 2571",1 Walton Street Picton New South Wales 2571,1 Walton Street,Picton,New South Wales,2571.0,,NRMA,-34.16828833,150.6109429,4,8,4,23,43,20
959,"Stuart St, Wagga Wagga, 2650","Stuart Street, Wagga Wagga NSW 2650",Stuart Road East Wagga Wagga New South Wales 2650,Stuart Road,East Wagga Wagga,New South Wales,2650.0,,Everty,-35.12347852,147.3992282,5,9,4,28,49,21
813,"Brunswick Ter, Brunswick Heads, 2483","Brunswick Ter, Brunswick Heads NSW 2483",2 The Terrace Brunswick Heads New South Wales 2483,2 The Terrace,Brunswick Heads,New South Wales,2483.0,,Tesla,-28.53977782,153.5522432,5,9,4,36,50,14
961,"Sussex St, Sydney, 2000","Sussex Street, Sydney NSW 2000",121 Sussex Street Sydney New South Wales 2000,121 Sussex Street,Sydney,New South Wales,2000.0,,Everty,-33.87052257,151.2038458,4,8,4,23,45,22
975,"William St, Sydney, 2046","William Street, Sydney NSW 2046",William Street Five Dock New South Wales 2046,William Street,Five Dock,New South Wales,2046.0,,Evie,-33.86864269,151.1185836,4,8,4,24,45,21
936,"Prospect Hwy, Sydney, 2147","Prospect Highway, Sydney NSW 2147",Prospect Highway Seven Hills New South Wales 2147,Prospect Highway,Seven Hills,New South Wales,2147.0,,EVUp,-33.77580285,150.9335706,4,8,4,26,49,23
956,"Soldiers Pde, Sydney, 2174","Soldiers Parade, Sydney NSW 2174",Gula Court Edmondson Park New South Wales 2174,Gula Court,Edmondson Park,New South Wales,2174.0,,Chargefox,-33.96909714,150.8615696,4,8,4,26,46,20
957,"Soldiers Point Road, Soldiers Point, 2317","Soldiers Point Road, Soldiers Point NSW 2317",147 Soldiers Point Road Soldiers Point New South Wales 2317,147 Soldiers Point Road,Soldiers Point,New South Wales,2317.0,,Porsche Smart Mobility,-32.71141446,152.0720931,6,10,4,41,59,18
934,"Princes Highway, Gerringong, 2534","Princes Highway, Gerringong NSW 2534",Kiama Coast Walk Gerringong New South Wales 2534,Kiama Coast Walk,Gerringong,New South Wales,2534.0,,Porsche Smart Mobility,-34.72438543,150.8423113,4,8,4,33,48,15
887,"Kokera St, Newcastle, 2287","Kokera Street, Newcastle NSW 2287",24 Kokera Street Wallsend New South Wales 2287,24 Kokera Street,Wallsend,New South Wales,2287.0,,Tesla,-32.90262967,151.6676206,4,8,4,26,46,20
883,"Kable Ave, Tamworth, 2340","Kable Avenue, Tamworth NSW 2340",4 Kable Avenue Tamworth New South Wales 2340,4 Kable Avenue,Tamworth,New South Wales,2340.0,,NRMA,-31.0903554,150.9274134,4,8,4,25,44,19
896,"Link Road, Sydney, 2113","Link Road, Sydney NSW 2113",Link Road Macquarie Park New South Wales 2113,Link Road,Macquarie Park,New South Wales,2113.0,,Chargefox,-33.77552657,151.1094585,4,8,4,23,45,22
867,"Hassall St, Sydney, 2142","Hassall Street, Sydney NSW 2142",113 Hassall Street Rosehill New South Wales 2142,113 Hassall Street,Rosehill,New South Wales,2142.0,,BP,-33.81961366,151.0213463,4,8,4,24,48,24
932,"Popran Rd, Glenworth Valley, 2250","Popran Road, Glenworth Valley NSW 2250",69 Cooks Road Glenworth Valley New South Wales 2250,69 Cooks Road,Glenworth Valley,New South Wales,2250.0,,Everty,-33.40322627,151.1925055,5,9,4,33,51,18
850,"Eric Felton St, Sydney, 2154","Eric Felton Street, Sydney NSW 2154",6-14 Castle Street Castle Hill New South Wales 2154,6-14 Castle Street,Castle Hill,New South Wales,2154.0,,Tesla,-33.72919824,151.0068078,5,9,4,28,51,23
924,"Ordnance St, Newcastle, 2300","Ordnance Street, Newcastle NSW 2300",Newcomen Street The Hill New South Wales 2300,Newcomen Street,The Hill,New South Wales,2300.0,,Chargefox,-32.93191396,151.7804224,4,8,4,28,45,17
950,"Shiers Ave, Sydney, 2020","Shiers Avenue, Sydney NSW 2020",Keith Smith Avenue Mascot New South Wales 2020,Keith Smith Avenue,Mascot,New South Wales,2020.0,,Tesla,-33.93278583,151.1802933,4,8,4,24,46,22
948,"Salisbury Rd, Sydney, 2154","Salisbury Road, Sydney NSW 2154",Salisbury Road Castle Hill New South Wales 2154,Salisbury Road,Castle Hill,New South Wales,2154.0,,Porsche Smart Mobility,-33.73028233,150.9734114,4,8,4,26,47,21
949,"Science Rd, Sydney, 2113","Science Road, Sydney NSW 2113",Science Road Macquarie Park New South Wales 2113,Science Road,Macquarie Park,New South Wales,2113.0,,Chargefox,-33.77319124,151.116038,4,8,4,24,48,24
